factsheet,topic,attribute,subattribute,#,value,,
,,reference,citation,11,"Fang Zhao, Ted I E Veldkamp, Katja Frieler, Jacob Schewe, Sebastian Ostberg, Sven Willner, Bernhard Schauberger, Simon N Gosling, Hannes Müller Schmied, Felix T Portmann, Guoyong Leng, Maoyi Huang, Xingcai Liu, Qiuhong Tang, Naota Hanasaki, Hester Biemans, Dieter Gerten, Yusuke Satoh, Yadu Pokhrel, Tobias Stacke, Philippe Ciais, Jinfeng Chang, Agnes Ducharne, Matthieu Guimberteau, Yoshihide Wada, Hyungjun Kim and Dai Yamazaki, ""The critical role of the routing scheme in simulating peak river discharge in global hydrological models"", Environmental Research Letters, Volume 12, Number 7, https://doi.org/10.1088/1748-9326/aa7250",,
,,reference,citation,12,"Sebastian Sippel, Matthias Forkel, Anja Rammig, Kirsten Thonicke, Milan Flach, Martin Heimann, Friederike E L Otto, Markus Reichstein and Miguel D Mahecha, ""Contrasting and interacting changes in simulated spring and summer carbon cycle extremes in European ecosystems"", Environmental Research Letters, Volume 12, Number 7",,
,,reference,citation,13,"Yoshimitsu Masaki, Naota Hanasaki, Hester Biemans, Hannes Müller Schmied, Qiuhong Tang, Yoshihide Wada, Simon N Gosling, Kiyoshi Takahashi and Yasuaki Hijioka, ""Intercomparison of global river discharge simulations focusing on dam operation—multiple models analysis in two case-study river basins, Missouri–Mississippi and Green–Colorado"", Environmental Research Letters, Volume 12, Number 5, https://doi.org/10.1088/1748-9326/aa57a8",,
,,reference,citation,14,"T.I.E. Veldkamp, Y. Wada, J.C.J.H. Aerts, P.Doell, S.N. Gosling, J. Liu, Y. Masaki, T.Oki, S. Ostberg, Y. Pokhrel, Y. Satoh, H. Kim &amp; P.J. Ward, ""Water scarcity hotspots travel downstream due to human interventions in the 20th and 21st century"", Nature Communications 8, Article number: 15697 (2017) doi:10.1038/ncomms15697",,
,,reference,citation,15,"Jinfeng Chang et al., ""Benchmarking carbon fluxes of the ISIMIP2a biome models"", Environmental Research Letters, Volume 12, Number 4",,
,,reference,citation,16,"Xingcai Liu, Qiuhong Tang, Huijuan Cui, Mengfei Mu, Dieter Gerten, Simon N Gosling, Yoshimitsu Masaki, Yusuke Satoh and Yoshihide Wada, ""Multimodel uncertainty changes in simulated river flows induced by human impact parameterizations"", Environmental Research Letters, Volume 12, Number 2",,
,,reference,citation,17,"Rosenzweig C, Arnell N, Ebi K, Lotze-Campen H, Raes F, Rapley C, Smith M, Cramer W, Frieler K, Reyer C, Schewe J, van Vuuren D, Warszawski L, ""Assessing inter-sectoral climate change risks: the role of ISIMIP"", Environmental Research Letters, Volume 12, Number 1, https://doi.org/10.1088/1748-9326/12/1/010301",,
,,reference,citation,18,"Krysanova, V. and F. Hattermann, ""Intercomparison of climate change impacts in 12 large river basins: overview of methods and summary of results"", Climatic Change (2017) 141: 363. doi:10.1007/s10584-017-1919-y",,
,,reference,citation,19,"Eisner S. Flörke M., Chamorro A., Daggupati P., Donnelly C., Huang J., Hundecha Y., Koch H., Kalugin A., Krylenko I., Mishra V., Piniewski M., Samaniego L., Seidou O., Wallner M., Krysanova V., ""An ensemble analysis of climate change impacts on streamflow seasonality across 11 large river basins"", Climatic Change (2017) 141: 401. doi:10.1007/s10584-016-1844-5",,
,,reference,citation,20,"Teklesadik A.D., T. Alemayehu, A. van Griensven, R. Kumar, S. Liersch, S. Eisner, J. Tecklenburg, S. Ewunte, X. Wang, ""Inter-model comparison of hydrological impacts of climate change on the Upper Blue Nile Basin using ensemble of hydrological models and global climate models"", Climatic Change (2017) 141: 517. doi:10.1007/s10584-017-1913-4",,
